Time (Ma),Total ridge length (km),Mean ridge spreading rate (cm/yr),Mean ridge spreading rate SD (cm/yr),Crustal formation rate (km^2/yr),Total subduction zone length (km),Mean trench convergence rate (cm/yr),Mean trench convergence rate SD (cm/year),Crustal subduction rate (km^2/yr),Total transform length (km)
80.0,78.72557700681433,6.313446359799073,4.484230877417179,4.980284105188344,69.7503374194129,7.268780796544154,7.81129715238596,4.946354195165588,45.67741280096694
81.0,77.8476354659071,6.2855306878489685,4.495165104110481,4.903224983554785,68.07664137627668,7.4641214528769995,7.83600478284933,4.9584715804558614,46.82446656382767
82.0,77.850845632638,6.289145037669064,4.501849758240398,4.907089611847035,68.12708338467176,7.493848804814183,7.849618234410302,4.986290695328384,46.811450731225584
83.0,67.72466681817181,5.561750375214532,4.045140163587871,3.775945338892126,68.17957494823142,6.16175424697133,5.6865462328691825,4.106804005684474,43.80303061269965
84.0,71.4184050495678,5.88959572827412,4.052388036635801,4.21675525013536,68.11845547827548,6.351881771534064,5.770694097209,4.249879750823138,36.27947501216427
85.0,67.97357462361347,5.833488257766653,4.033788387984503,3.9741948156754425,71.16100482651338,6.01081459678494,5.798588488206689,4.145364170485957,39.48596620349744
86.0,78.60421860291892,5.593880999719152,3.7152811178951266,4.407453894636854,69.86908014725854,6.168123886072952,5.492735869038536,4.2461836592844495,51.979985699699135
87.0,75.6013525549663,5.517122225396908,3.8107522773830276,4.181252228809495,69.84006072708343,6.168803886947653,5.49228113376693,4.246193306643224,53.985419052548544
88.0,76.10571295673016,5.506441200934168,3.8740926585294315,4.201028229423589,69.86106906667914,6.217736973962175,5.569458262963919,4.28102584908485,51.47748367650026
89.0,76.48732455041159,5.452934742288506,3.8956005474636277,4.180990252195738,70.01641535046267,6.2165546768933755,5.571928076290377,4.276509800608629,51.49105691359311
90.0,75.24810345176316,5.79017448187146,3.8469591308178472,4.368736660740524,69.78181506294037,6.23106636363377,5.071375195879293,4.266432387632663,54.48120296652811
91.0,74.27859375783645,5.659116993599397,3.9190807135843055,4.216057008782116,69.43453118459792,6.2597103690501905,5.053151833362437,4.286948947322357,52.11548838669169
92.0,74.56712430930082,5.638046180385635,3.92984040792279,4.216765865292293,69.51042201136234,6.284321978635765,5.0450664165882015,4.308627382616258,52.07912152098316
93.0,73.7380380725467,5.71650978813031,3.914291090012778,4.2282777557613525,69.3279456730406,6.327327872639106,5.063069329805588,4.325943975834982,52.73094927557312
94.0,72.7008706735659,5.675808894480213,3.9025166827045306,4.139197439584977,69.51529733719448,6.329101052145972,5.062508659473318,4.340003098168891,53.861981786456596
